Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	gene_set_db
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	2/98	0.0113676675520262	0.0383040971861754	0	0	13.354166666666666	59.78636556519184	CAMK2D;PIK3CA	KEGG_2021_Human
KEGG_2021_Human	Choline metabolism in cancer	2/98	0.0113676675520262	0.0383040971861754	0	0	13.354166666666666	59.78636556519184	PIK3CA;EGFR	KEGG_2021_Human
KEGG_2021_Human	Circadian entrainment	2/97	0.0111470903545366	0.0383040971861754	0	0	13.495415959252972	60.68317390225423	CAMK2D;GRIN2A	KEGG_2021_Human
KEGG_2021_Human	Longevity regulating pathway	2/102	0.0122691797110065	0.0396192261501253	0	0	12.81741935483871	56.40516715212003	PIK3CA;TP53	KEGG_2021_Human
KEGG_2021_Human	Chagas disease	2/102	0.0122691797110065	0.0396192261501253	0	0	12.81741935483871	56.40516715212003	PIK3CA;TLR6	KEGG_2021_Human
KEGG_2021_Human	Toll-like receptor signaling pathway	2/104	0.012731366406601	0.0402726896535339	0	0	12.56483238456673	54.82898988673497	PIK3CA;TLR6	KEGG_2021_Human
Reactome_2022	Signaling By EGFR R-HSA-177929	2/49	0.0029577759610365	0.041102886630956	0	0	27.34385724090597	159.23196669722262	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Signaling By ERBB2 R-HSA-1227986	2/49	0.0029577759610365	0.041102886630956	0	0	27.34385724090597	159.23196669722262	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Neurexins And Neuroligins R-HSA-6794361	2/57	0.0039812184370089	0.0458408865747029	0	0	23.357184750733136	129.0757121447999	GRM5;GRIN2A	Reactome_2022
Reactome_2022	Signaling By ERBB4 R-HSA-1236394	2/57	0.0039812184370089	0.0458408865747029	0	0	23.357184750733136	129.0757121447999	PIK3CA;EGFR	Reactome_2022
Reactome_2022	Stabilization Of P53 R-HSA-69541	2/56	0.0038454799730905	0.0458408865747029	0	0	23.790919952210277	132.2979002640479	CDKN2A;TP53	Reactome_2022
Reactome_2022	Ion Transport By P-type ATPases R-HSA-936837	2/53	0.003451591837737	0.0458408865747029	0	0	25.19418089816572	142.82378973183248	ATP8B4;CAMK2D	Reactome_2022
Reactome_2022	ESR-mediated Signaling R-HSA-8939211	3/188	0.0036241870437411	0.0458408865747029	0	0	10.692972972972973	60.0958477197196	PIK3CA;AGO1;EGFR	Reactome_2022
Reactome_2022	Intrinsic Pathway For Apoptosis R-HSA-109606	2/55	0.0037119578894409	0.0458408865747029	0	0	24.241022519780888	135.65750862045326	CDKN2A;TP53	Reactome_2022
KEGG_2021_Human	Glutamatergic synapse	2/114	0.0151545374147406	0.0460579078291138	0	0	11.43721198156682	47.91568826813319	GRM5;GRIN2A	KEGG_2021_Human
KEGG_2021_Human	Cholinergic synapse	2/113	0.0149039082366902	0.0460579078291138	0	0	11.54083115373438	48.54225694485519	CAMK2D;PIK3CA	KEGG_2021_Human
KEGG_2021_Human	Sphingolipid signaling pathway	2/119	0.0164349143643536	0.048064372197638	0	0	10.945685139233529	44.96867579627058	PIK3CA;TP53	KEGG_2021_Human
KEGG_2021_Human	Sulfur metabolism	1/10	0.0163815476907073	0.048064372197638	0	0	69.29861111111111	284.9281499305533	ETHE1	KEGG_2021_Human
KEGG_2021_Human	Thyroid hormone signaling pathway	2/121	0.0169596557057007	0.048680493229326	0	0	10.760639739766876	43.8702452998858	PIK3CA;TP53	KEGG_2021_Human
Reactome_2022	Post NMDA Receptor Activation Events R-HSA-438064	2/61	0.004546191874778	0.0495166304198801	0	0	21.769272826681245	117.41181862131752	CAMK2D;GRIN2A	Reactome_2022
Reactome_2022	Signaling By NOTCH R-HSA-157118	3/203	0.0044922284241295	0.0495166304198801	0	0	9.8835	53.42433407611074	AGO1;TP53;EGFR	Reactome_2022
Reactome_2022	Pre-NOTCH Transcription And Translation R-HSA-1912408	2/62	0.0046929042205557	0.0497694842337885	0	0	21.405376344086022	114.769284503242	AGO1;TP53	Reactome_2022
