SAMPLE_ID	REF_COHORT	REF_COHORT_SIZE	ENSEMBL_GENE_ID	TPM_LOG2_GENE	MEAN	STD	Z_SCORE	Q1	Q2	Q3	IQR	PERCENTILE
TCGA-86-8358	tcga_luad	530	ENSG00000137942	6.4561	53.367506396	29.749840099	-1.57686	32.80455	46.5679	66.0735	33.26895	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000044459	3.0707	2.319436532	2.122291406	0.35399	1.0728	1.7689	2.76725	1.69445	79.7
TCGA-86-8358	tcga_luad	530	ENSG00000163257	5.454	27.487252162	14.731295855	-1.49568	17.9862	24.5468	32.48645	14.50025	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000141664	2.97592	7.950618689	4.645660992	-1.07083	5.05635	6.8618	9.4186	4.36225	7.9
TCGA-86-8358	tcga_luad	530	ENSG00000074603	4.25767	13.623899387	6.926184606	-1.35229	9.7374	12.3	15.905	6.1676	0.6
TCGA-86-8358	tcga_luad	530	ENSG00000007341	1.91449	4.004072482	2.195861811	-0.9516	2.7381	3.6482	4.65315	1.91505	5.6
TCGA-86-8358	tcga_luad	530	ENSG00000183337	5.00032	17.632944294	9.311989145	-1.3566	11.2229	16.1492	22.15735	10.93445	4.3
TCGA-86-8358	tcga_luad	530	ENSG00000136891	3.83834	10.840662028	5.604760734	-1.24935	7.6677	9.5601	12.37675	4.70905	1.1
TCGA-86-8358	tcga_luad	530	ENSG00000131503	0.02814	0.858172212	1.488243764	-0.55773	0.38995	0.5766	0.8283	0.43835	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000273559	4.81976	23.143243051	9.46469516	-1.93598	17.6496	21.5056	27.1142	9.4646	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000042445	4.60898	57.635718796	28.755881571	-1.84403	38.4237	52.6504	69.92285	31.49915	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000133138	2.43128	5.906337053	3.730762645	-0.93146	3.4994	4.9684	7.415	3.9156	10.2
TCGA-86-8358	tcga_luad	530	ENSG00000148123	3.02265	6.020566199	10.707818202	-0.27997	0.65275	2.1451	6.49225	5.8395	58.9
TCGA-86-8358	tcga_luad	530	ENSG00000065060	5.8898	14.000208671	8.078053019	-1.00401	8.68635	12.7586	16.99635	8.31	10.7
TCGA-86-8358	tcga_luad	530	ENSG00000037474	6.13117	57.094818767	33.75714487	-1.50971	35.9735	47.9543	68.57435	32.60085	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000091542	7.07111	83.063346718	32.142674018	-2.36422	62.2633	78.7844	96.8933	34.63	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000114933	2.99684	6.196181056	7.317618874	-0.43721	3.751	5.0394	6.40245	2.65145	13.0
TCGA-86-8358	tcga_luad	530	ENSG00000146918	6.88425	15.675355838	13.145825443	-0.66874	6.955	11.749	19.96615	13.01115	24.5
TCGA-86-8358	tcga_luad	530	ENSG00000166912	3.09977	8.50271312	5.532963261	-0.9765	5.39575	7.3079	10.05495	4.6592	3.8
TCGA-86-8358	tcga_luad	530	ENSG00000108375	2.27178	9.296279631	7.870946599	-0.89246	4.5517	7.4865	11.66755	7.11585	7.9
TCGA-86-8358	tcga_luad	530	ENSG00000040487	4.49296	24.480111604	10.475590755	-1.90797	17.3758	22.8241	29.97375	12.59795	1.5
TCGA-86-8358	tcga_luad	530	ENSG00000130940	3.11262	4.797212649	3.083001609	-0.54641	2.58015	4.1735	6.4197	3.83955	34.3
TCGA-86-8358	tcga_luad	530	ENSG00000197977	5.77661	2.047020163	5.381433579	0.69305	0.4973	0.9262	1.5482	1.0509	95.3
TCGA-86-8358	tcga_luad	530	ENSG00000168297	3.26404	10.500218156	5.230992841	-1.38333	6.8519	9.5927	12.58065	5.72875	2.1
TCGA-86-8358	tcga_luad	530	ENSG00000122188	2.70653	6.478218137	6.255552643	-0.60293	2.09655	4.5192	8.52315	6.4266	31.6
TCGA-86-8358	tcga_luad	530	ENSG00000145996	6.72632	16.497000608	11.842595812	-0.82505	10.89655	14.5154	18.6354	7.73885	2.1
TCGA-86-8358	tcga_luad	530	ENSG00000011295	4.14129	26.242422211	12.846303554	-1.72043	17.40105	23.2351	32.20655	14.8055	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000011143	3.27186	5.101840789	2.170544911	-0.8431	3.59485	4.7291	6.10895	2.5141	19.4
TCGA-86-8358	tcga_luad	530	ENSG00000147548	5.1142	17.787218645	15.952645581	-0.79441	10.69235	14.7466	20.1234	9.43105	1.3
TCGA-86-8358	tcga_luad	530	ENSG00000073067	-1.86407	0.696687437	3.231791477	-0.79236	0.0362	0.1034	0.33235	0.29615	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000108021	4.80846	20.272292584	12.07505213	-1.28064	12.9998	17.8033	24.36435	11.36455	0.8
TCGA-86-8358	tcga_luad	530	ENSG00000040275	5.26196	8.928222523	5.864027168	-0.62521	5.14605	7.2412	10.59705	5.451	26.7
TCGA-86-8358	tcga_luad	530	ENSG00000168758	5.62507	38.046138736	20.858605854	-1.55433	23.3572	33.6108	48.25465	24.89745	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000178718	6.03523	25.620264275	20.019708551	-0.97829	13.16735	20.5804	29.95125	16.7839	2.3
TCGA-86-8358	tcga_luad	530	ENSG00000188352	4.53636	15.373807465	9.046957751	-1.19791	9.9455	13.9179	19.0597	9.1142	4.7
TCGA-86-8358	tcga_luad	530	ENSG00000149658	6.61377	87.237402013	39.527399686	-2.03969	63.37065	79.9007	102.05105	38.6804	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000070269	3.20856	6.663350215	4.46453218	-0.77383	4.29325	5.6009	7.62865	3.3354	8.7
TCGA-86-8358	tcga_luad	530	ENSG00000091317	6.48956	103.206929869	42.629989166	-2.26876	74.4958	96.2713	122.8786	48.3828	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000164818	5.48263	22.630161636	11.711040937	-1.46422	15.08415	19.6339	27.0399	11.95575	0.8
TCGA-86-8358	tcga_luad	530	ENSG00000167264	3.5002	8.707964036	2.785437914	-1.86964	6.8116	8.3732	10.00575	3.19415	0.8
TCGA-86-8358	tcga_luad	530	ENSG00000168802	-0.27021	0.500389062	0.288648413	-2.66968	0.29825	0.4698	0.6539	0.35565	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000105538	2.58988	8.730908631	8.258006214	-0.74365	4.4402	6.7516	9.9362	5.496	6.6
TCGA-86-8358	tcga_luad	530	ENSG00000203896	0.96222	2.065099465	1.799681254	-0.61282	0.77935	1.5259	2.76415	1.9848	32.8
TCGA-86-8358	tcga_luad	530	ENSG00000140987	3.45948	10.729444414	3.652386749	-1.99047	8.3035	10.4597	12.48765	4.18415	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000107341	5.93687	69.097593722	29.02355897	-2.17619	51.36705	63.9434	79.89185	28.5248	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000106554	6.7718	43.853389453	19.289959627	-1.92233	30.99865	39.0431	51.1911	20.19245	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000104331	5.59635	56.090818734	30.381655114	-1.66201	37.03255	48.3793	65.73115	28.6986	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000064545	5.28975	28.026020063	13.129226983	-1.73173	19.69735	26.4775	33.64455	13.9472	2.4
TCGA-86-8358	tcga_luad	530	ENSG00000092036	4.44725	18.482493123	9.21820113	-1.52256	11.88215	16.6557	22.92125	11.0391	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000174173	5.73821	41.076374791	19.596726111	-1.80327	28.6911	36.5379	48.62135	19.93025	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000187609	2.04233	5.73699045	3.357417752	-1.10045	3.37575	5.0518	7.2426	3.86685	6.8
TCGA-86-8358	tcga_luad	530	ENSG00000158315	-0.07841	11.103523331	9.314196361	-1.20053	4.80885	8.5512	14.7681	9.95925	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000139620	5.85536	27.199363582	10.786679973	-1.97874	19.9222	24.7672	32.572	12.6498	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000158716	7.31743	212.156823597	203.915991428	-1.00453	111.60115	169.27	253.3751	141.77395	0.2
