sample_id	n_genes
TCGA-91-6835	42282
TCGA-91-6836	42282
TCGA-91-6840	42282
TCGA-91-6847	42282
TCGA-91-6848	42282
TCGA-91-6849	42282
TCGA-91-7771	42282
TCGA-91-8496	42282
TCGA-91-8497	42282
TCGA-91-8499	42282
TCGA-91-A4BC	42282
TCGA-91-A4BD	42282
TCGA-93-7347	42282
TCGA-93-7348	42282
TCGA-93-8067	42282
TCGA-93-A4JN	42282
TCGA-93-A4JO	42282
TCGA-93-A4JP	42282
TCGA-93-A4JQ	42282
TCGA-95-7039	42282
TCGA-95-7043	42282
TCGA-95-7562	42282
TCGA-95-7567	42282
TCGA-95-7944	42282
TCGA-95-7947	42282
TCGA-95-7948	42282
TCGA-95-8039	42282
TCGA-95-8494	42282
TCGA-95-A4VK	42282
TCGA-95-A4VN	42282
TCGA-95-A4VP	42282
TCGA-97-7546	42282
TCGA-97-7547	42282
TCGA-97-7552	42282
TCGA-97-7553	42282
TCGA-97-7554	42282
TCGA-97-7937	42282
TCGA-97-7938	42282
TCGA-97-7941	42282
TCGA-97-8171	42282
TCGA-97-8172	42282
TCGA-97-8174	42282
TCGA-97-8175	42282
TCGA-97-8176	42282
TCGA-97-8177	42282
TCGA-97-8179	42282
TCGA-97-8547	42282
TCGA-97-8552	42282
TCGA-97-A4LX	42282
TCGA-97-A4M0	42282
TCGA-97-A4M1	42282
TCGA-97-A4M2	42282
TCGA-97-A4M3	42282
TCGA-97-A4M5	42282
TCGA-97-A4M6	42282
TCGA-97-A4M7	42282
TCGA-99-7458	42282
TCGA-99-8025	42282
TCGA-99-8028	42282
TCGA-99-8032	42282
TCGA-99-8033	42282
TCGA-99-AA5R	42282
TCGA-J2-8192	42282
TCGA-J2-8194	42282
TCGA-J2-A4AD	42282
TCGA-J2-A4AE	42282
TCGA-J2-A4AG	42282
TCGA-L4-A4E5	42282
TCGA-L4-A4E6	42282
TCGA-L9-A443	42282
TCGA-L9-A444	42282
TCGA-L9-A50W	42282
TCGA-L9-A5IP	42282
TCGA-L9-A743	42282
TCGA-L9-A7SV	42282
TCGA-L9-A8F4	42282
TCGA-MN-A4N1	42282
TCGA-MN-A4N4	42282
TCGA-MN-A4N5	42282
TCGA-MP-A4SV	42282
TCGA-MP-A4SW	42282
TCGA-MP-A4SY	42282
TCGA-MP-A4T4	42282
TCGA-MP-A4T6	42282
TCGA-MP-A4T7	42282
TCGA-MP-A4T8	42282
TCGA-MP-A4T9	42282
TCGA-MP-A4TA	42282
TCGA-MP-A4TC	42282
TCGA-MP-A4TD	42282
TCGA-MP-A4TE	42282
TCGA-MP-A4TF	42282
TCGA-MP-A4TH	42282
TCGA-MP-A4TI	42282
TCGA-MP-A4TJ	42282
TCGA-MP-A4TK	42282
TCGA-MP-A5C7	42282
TCGA-NJ-A4YF	42282
TCGA-NJ-A4YG	42282
TCGA-NJ-A4YI	42282
TCGA-NJ-A4YP	42282
TCGA-NJ-A4YQ	42282
TCGA-NJ-A55A	42282
TCGA-NJ-A55O	42282
TCGA-NJ-A55R	42282
TCGA-NJ-A7XG	42282
TCGA-O1-A52J	42282
TCGA-S2-AA1A	42282
