pathway	n_activated	n_suppressed	pct_patients	mean_nes	luad_relevant
Dopaminergic synapse	30	0	5.8	2.924	False
Autophagy	29	0	5.6	4.364	False
Oxidative phosphorylation	28	0	5.4	4.482	False
Fluid shear stress and atherosclerosis	27	0	5.2	4.239	False
Bile secretion	27	0	5.2	1.521	False
Ubiquitin mediated proteolysis	26	0	5.0	4.521	False
Apelin signaling pathway	25	0	4.8	3.26	False
Measles	24	0	4.6	3.168	False
Insulin signaling pathway	24	0	4.6	3.581	False
Coagulation	24	0	4.6	3.625	False
Yersinia infection	23	0	4.4	4.647	False
UV Response Dn	23	0	4.4	4.575	False
Vascular smooth muscle contraction	22	0	4.3	2.969	False
Spinocerebellar ataxia	21	0	4.1	3.628	False
Estrogen signaling pathway	21	0	4.1	2.944	False
Spliceosome	19	0	3.7	4.443	False
Retrograde endocannabinoid signaling	19	0	3.7	2.71	False
Necroptosis	18	0	3.5	3.111	False
Phospholipase D signaling pathway	16	0	3.1	3.405	False
Non-alcoholic fatty liver disease	16	0	3.1	4.592	False
Cell adhesion molecules	15	0	2.9	3.354	False
Ribosome	15	0	2.9	4.057	False
Gastric cancer	15	0	2.9	3.049	False
Hepatitis B	14	0	2.7	3.725	False
Cellular senescence	14	0	2.7	4.327	False
Adrenergic signaling in cardiomyocytes	13	0	2.5	2.72	False
Tight junction	12	0	2.3	4.021	False
cGMP-PKG signaling pathway	12	0	2.3	2.619	False
Hepatitis C	12	0	2.3	3.317	False
DNA Repair	11	0	2.1	4.312	False
Phagosome	11	0	2.1	4.201	False
Wnt signaling pathway	10	0	1.9	3.281	True
Fatty Acid Metabolism	10	0	1.9	3.912	False
Breast cancer	10	0	1.9	3.217	False
Signaling pathways regulating pluripotency of stem cells	10	0	1.9	2.903	False
mTOR signaling pathway	9	0	1.7	3.868	True
Influenza A	9	0	1.7	3.208	False
UV Response Up	8	0	1.5	4.288	False
Oxytocin signaling pathway	8	0	1.5	2.824	False
Protein processing in endoplasmic reticulum	8	0	1.5	4.965	False
Spermatogenesis	8	0	1.5	1.548	False
Hepatocellular carcinoma	7	0	1.4	4.405	False
JAK-STAT signaling pathway	7	0	1.4	1.956	False
Hippo signaling pathway	7	0	1.4	4.313	False
Cushing syndrome	6	0	1.2	3.046	False
Maturity onset diabetes of the young	6	35	1.2	-0.957	False
Retinol metabolism	5	1	1.0	0.954	False
RNA transport	5	0	1.0	3.738	False
Epstein-Barr virus infection	5	0	1.0	4.125	False
p53 Pathway	4	0	0.8	4.704	True
Glycolysis	4	0	0.8	4.391	False
Inflammatory Response	4	0	0.8	3.913	False
Focal adhesion	4	0	0.8	3.973	False
KRAS Signaling Up	4	0	0.8	3.778	True
Neutrophil extracellular trap formation	4	0	0.8	2.39	False
Chemokine signaling pathway	3	0	0.6	4.25	False
Adipogenesis	3	0	0.6	4.623	False
Regulation of actin cytoskeleton	3	0	0.6	3.554	False
Allograft Rejection	3	0	0.6	4.06	False
Xenobiotic Metabolism	3	0	0.6	3.016	False
Chemical carcinogenesis	3	0	0.6	1.916	False
Complement	3	0	0.6	4.468	False
Interferon Gamma Response	3	0	0.6	5.457	True
Axon guidance	3	0	0.6	3.858	False
Mitotic Spindle	3	0	0.6	4.744	False
G2-M Checkpoint	3	0	0.6	5.035	False
Transcriptional misregulation in cancer	3	0	0.6	3.052	False
TNF-alpha Signaling via NF-kB	2	0	0.4	4.685	False
Epithelial Mesenchymal Transition	2	0	0.4	4.651	False
Pathogenic Escherichia coli infection	2	0	0.4	4.335	False
Alcoholism	2	0	0.4	1.855	False
Apical Junction	2	0	0.4	3.323	False
IL-2/STAT5 Signaling	2	0	0.4	4.69	False
Lipid and atherosclerosis	2	0	0.4	3.504	False
Rap1 signaling pathway	2	0	0.4	3.675	False
Tuberculosis	2	0	0.4	3.692	False
mTORC1 Signaling	2	0	0.4	4.259	True
Human T-cell leukemia virus 1 infection	1	0	0.2	3.968	False
Salmonella infection	1	0	0.2	3.952	False
Myc Targets V1	1	0	0.2	7.623	True
Diabetic cardiomyopathy	1	0	0.2	3.658	False
Hypoxia	1	0	0.2	3.592	True
Thermogenesis	1	0	0.2	4.25	False
Proteoglycans in cancer	1	0	0.2	3.845	False
Viral carcinogenesis	1	0	0.2	2.88	False
